place,pincode,district
Adhanur,621804,Ariyalur
Agaram,621714,Ariyalur
Alathur,621717,Ariyalur
Andimadam,621801,Ariyalur
Ariyalur,621704,Ariyalur
Cholavaram,621704,Ariyalur
Dharasuram,612703,Ariyalur
Gangai Konda Cholapuram,621704,Ariyalur
Jayankondam,621802,Ariyalur
Kanakkar,621709,Ariyalur
Keelapalur,621804,Ariyalur
Kilpalur,621704,Ariyalur
Kunnam,621712,Ariyalur
Meensuruti,621714,Ariyalur
Nainarpalayam,621701,Ariyalur
Pillayarpalayam,621804,Ariyalur
Puthur,621802,Ariyalur
Sendurai,621714,Ariyalur
Sithali,621704,Ariyalur
Thirumanur,621715,Ariyalur
Thirumanur,621715,Ariyalur
Thiruvamathur,621804,Ariyalur
T. Palur,621720,Ariyalur
Udayarpalayam,621804,Ariyalur
Vaiyampatti,621801,Ariyalur
Varanavasi,621704,Ariyalur
Vriddhachalam,606001,Ariyalur
West Jayankondam,621802,Ariyalur
Veppanthattai,621116,Ariyalur
Thiruvaiyaru,613204,Ariyalur
Adyar,600020,Chennai
Aminjikarai,600029,Chennai
Anna Nagar,600040,Chennai
Arumbakkam,600106,Chennai
Ashok Nagar,600083,Chennai
Besant Nagar,600090,Chennai
Chetpet,600031,Chennai
Choolaimedu,600094,Chennai
Chrompet,600044,Chennai
Egmore,600008,Chennai
Ennore,600057,Chennai
Foreshore Estate,600041,Chennai
George Town,600001,Chennai
Guindy,600032,Chennai
Guduvanchery,603202,Chennai
ICF Colony,600038,Chennai
Injambakkam,600115,Chennai
Iyyapanthangal,600056,Chennai
Jafferkhanpet,600083,Chennai
K.K. Nagar,600078,Chennai
Kaladipet,600019,Chennai
Kattupakkam,600056,Chennai
Keelkattalai,600117,Chennai
Kelambakkam,603103,Chennai
Kilpauk,600010,Chennai
Kodambakkam,600024,Chennai
Kodungaiyur,600118,Chennai
Kolathur,600099,Chennai
Korattur,600076,Chennai
Korukkupet,600021,Chennai
Kottivakkam,600041,Chennai
Kotturpuram,600085,Chennai
Kovilambakkam,600117,Chennai
Koyambedu,600107,Chennai
Kundrathur,600069,Chennai
Madhavaram,600060,Chennai
Madipakkam,600091,Chennai
Maduravoyal,600095,Chennai
Mambalam,600033,Chennai
Mannivakkam,600048,Chennai
Medavakkam,600100,Chennai
Meenambakkam,600027,Chennai
Mogappair,600037,Chennai
Mylapore,600004,Chennai
Nandanam,600035,Chennai
Nanganallur,600061,Chennai
Neelangarai,600115,Chennai
Nungambakkam,600034,Chennai
Padi,600050,Chennai
Palavakkam,600041,Chennai
Pallavaram,600043,Chennai
Pallikaranai,600100,Chennai
Pammal,600075,Chennai
Park Town,600003,Chennai
Parrys,600001,Chennai
Pattalam,600012,Chennai
Perambur,600011,Chennai
Perungalathur,600063,Chennai
Perungudi,600096,Chennai
Pozhichalur,600074,Chennai
Poonamallee,600056,Chennai
Porur,600116,Chennai
Pudupakkam,603103,Chennai
Purasawalkam,600007,Chennai
Puratchi Thalaivar Dr. M.G.R. Central,600003,Chennai
RA Puram,600028,Chennai
Ramavaram,600089,Chennai
Red Hills,600052,Chennai
Royapettah,600014,Chennai
Royapuram,600013,Chennai
Saidapet,600015,Chennai
Saligramam,600093,Chennai
Santhome,600004,Chennai
Sathyamurthi Nagar,600119,Chennai
Selaiyur,600073,Chennai
Shenoy Nagar,600030,Chennai
Sholinganallur,600119,Chennai
Singaperumal Koil,603204,Chennai
Sowcarpet,600079,Chennai
St. Thomas Mount,600016,Chennai
T. Nagar,600017,Chennai
Tambaram,600045,Chennai
Teynampet,600018,Chennai
Tharamani,600113,Chennai
Thirumangalam,600040,Chennai
Thirumullaivoyal,600062,Chennai
Thiruvanmiyur,600041,Chennai
Thiruverkadu,600077,Chennai
Thiruvotriyur,600019,Chennai
Thousand Lights,600006,Chennai
Tondiarpet,600081,Chennai
Triplicane,600005,Chennai
Ullagaram,600091,Chennai
Vadapalani,600026,Chennai
Valasaravakkam,600087,Chennai
Vanagaram,600095,Chennai
Velachery,600042,Chennai
Vepery,600007,Chennai
Villivakkam,600049,Chennai
Vyasarpadi,600039,Chennai
Washermanpet,600021,Chennai
West Mambalam,600033,Chennai
Aathupalam,641007,Coimbatore
Alanthurai,641101,Coimbatore
Alandurai,641101,Coimbatore
Anaikatti,641108,Coimbatore
Annur,641653,Coimbatore
Arasur,641407,Coimbatore
Arisipalayam,641603,Coimbatore
Avinashi,641654,Coimbatore
Chettipalayam,641201,Coimbatore
Chinniampalayam,641062,Coimbatore
Chinniyampalayam,641062,Coimbatore
Chinthamanipudur,641103,Coimbatore
Chithanapalli,641653,Coimbatore
Eachanari,641021,Coimbatore
Ettimadai,641105,Coimbatore
Gandhipuram,641012,Coimbatore
Ganeshapuram,641605,Coimbatore
Gnanambika Mills,641029,Coimbatore
GN Mills,641029,Coimbatore
Idikarai,641022,Coimbatore
Irugur,641103,Coimbatore
Kalapatti,641048,Coimbatore
Kallapalayam,641017,Coimbatore
Kallimadai,641005,Coimbatore
Kallipalayam,641107,Coimbatore
Kallipalayam,641107,Coimbatore
Kanuvai,641108,Coimbatore
Karumathampatti,641659,Coimbatore
Kinathukadavu,642109,Coimbatore
Kottur,641107,Coimbatore
Kottur-Malayandipattinam,641107,Coimbatore
Kurumbapalayam,641107,Coimbatore
Madukkarai,641105,Coimbatore
Malumichampatti,641050,Coimbatore
Mankarai,641017,Coimbatore
Masakalipalayam,641047,Coimbatore
Mathampalayam,641010,Coimbatore
Mettupalayam,641301,Coimbatore
Mettupalayam Road,641030,Coimbatore
Mopperipalayam,641028,Coimbatore
Mudalipalayam,641020,Coimbatore
Muthur,641107,Coimbatore
Myleripalayam,641032,Coimbatore
Narasimhanaickenpalayam,641031,Coimbatore
Naranapuram,641027,Coimbatore
Naranapuram Colony,641041,Coimbatore
Neelambur,641062,Coimbatore
Neelikonampalayam,641033,Coimbatore
Neelikonampalayam,641033,Coimbatore
Nellipalayam,641008,Coimbatore
Ondipudur,641016,Coimbatore
Othakkalmandapam,641032,Coimbatore
Othakkalmandapam,641032,Coimbatore
Pachapalayam,641041,Coimbatore
Pappampatti,641035,Coimbatore
Pappanaickenpalayam,641037,Coimbatore
Pappanaickenpudur,641017,Coimbatore
Peelamedu,641004,Coimbatore
Periyanaickenpalayam,641020,Coimbatore
Perur,641010,Coimbatore
Pichanur,641105,Coimbatore
Podanur,641023,Coimbatore
Pogalur,641067,Coimbatore
Pogalur,641671,Coimbatore
Pollachi,642001,Coimbatore
Puliakulam,641045,Coimbatore
R.S. Puram,641002,Coimbatore
Ramanathapuram,641045,Coimbatore
Rathinapuri,641027,Coimbatore
Red Fields,641001,Coimbatore
Rettipalayam,641021,Coimbatore
Saibaba Colony,641011,Coimbatore
Saravanampatti,641035,Coimbatore
Selvapuram,641026,Coimbatore
Selvapuram North,641025,Coimbatore
Selvapuram South,641026,Coimbatore
Seripalayam,641033,Coimbatore
Sivanandhapuram,641668,Coimbatore
Somanur,641668,Coimbatore
Somayampalayam,641108,Coimbatore
Sundarapuram,641024,Coimbatore
Tatabad,641012,Coimbatore
Thaneer Pandal,641007,Coimbatore
Thirumalayampalayam,641105,Coimbatore
Thondamuthur,641109,Coimbatore
Thottipalayam,641017,Coimbatore
Thudiyalur,641034,Coimbatore
Udayampalayam,641028,Coimbatore
Urumandampalayam,641031,Coimbatore
Urumandampalayam,641031,Coimbatore
Vadavalli,641041,Coimbatore
Veerakeralam,641007,Coimbatore
Velandipalayam,641025,Coimbatore
Vellakinar,641029,Coimbatore
Vellalore,641111,Coimbatore
Venkitapuram,641025,Coimbatore
Velliyankadu,641109,Coimbatore
Vilankurichi,641035,Coimbatore
Vilankurichi Road,641035,Coimbatore
Villankurichi,641035,Coimbatore
Villarasampatti,641035,Coimbatore
Vadamadurai,641017,Coimbatore
Vedapatti,641007,Coimbatore
Vellalore,641111,Coimbatore
Vellakinar,641029,Coimbatore
Vellanaipatti,641029,Coimbatore
Vellalore,641111,Coimbatore
Vellalore,641111,Coimbatore
Venkitapuram,641025,Coimbatore
Vilankurichi,641035,Coimbatore
Vilankurichi Road,641035,Coimbatore
Villankurichi,641035,Coimbatore
Villarasampatti,641035,Coimbatore
Alapakkam,607201,Cuddalore
Alathur,606202,Cuddalore
Anniyur,607104,Cuddalore
Annur,606105,Cuddalore
Arani,632301,Cuddalore
Ariyur,605754,Cuddalore
Bhuvanagiri,606604,Cuddalore
Chidambaram,608001,Cuddalore
Cuddalore,607001,Cuddalore
Elayankanni,608201,Cuddalore
Gangaikondan,627352,Cuddalore
Kallakurichi,606202,Cuddalore
Kalpakkam,603102,Cuddalore
Kambam,606206,Cuddalore
Kattumannarkoil,608301,Cuddalore
Kurinjipadi,607302,Cuddalore
Manjakuppam,607403,Cuddalore
Meiyur,608601,Cuddalore
Mettur,607202,Cuddalore
Nallur,607301,Cuddalore
Neyveli,607803,Cuddalore
Nidamangalam,606207,Cuddalore
Padalam,607104,Cuddalore
Panruti,607106,Cuddalore
Parangipettai,608502,Cuddalore
Pennadam,606105,Cuddalore
Perungalur,607804,Cuddalore
Sethiathoppu,608102,Cuddalore
